"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C40","C0201-C","731.339mil","132.76mil","731.339mil","132.76mil","731.339mil","120.949mil","T","90.00","100nF"
"C39","C0201-C","706.339mil","132.76mil","706.339mil","132.76mil","706.339mil","120.949mil","T","90.00","100nF"
"C38","C0201-C","831.339mil","118.079mil","831.339mil","118.079mil","831.339mil","106.268mil","T","90.00","100nF"
"C37","C0201-C","657.222mil","517.76mil","657.222mil","517.76mil","645.411mil","517.76mil","T","360.00","100nF"
"C36","C0201-C","542.339mil","353mil","542.339mil","353mil","530.528mil","353mil","T","360.00","100nF"
"C35","C0201-C","881.339mil","155mil","881.339mil","155mil","881.339mil","143.19mil","T","90.00","100nF"
"C34","C0201-C","856.339mil","118.079mil","856.339mil","118.079mil","856.339mil","106.268mil","T","90.00","100nF"
"C31","C0603","1017.716mil","1195.866mil","1017.716mil","1195.866mil","1017.716mil","1229.331mil","T","270.00","22uF"
"C30","C0201-C","818.898mil","1061.024mil","818.898mil","1061.024mil","818.898mil","1072.835mil","T","270.00","100nF"
"C28","C0201-C","545.34mil","838.835mil","545.34mil","838.835mil","533.529mil","838.835mil","T","0.00","100nF"
"C26","C0201-C","989.536mil","1011.075mil","989.536mil","1011.075mil","1001.347mil","1011.075mil","T","180.00","100nF"
"C25","C0201-C","935.536mil","978.075mil","935.536mil","978.075mil","947.347mil","978.075mil","T","180.00","330pF"
"C24","C0201-C","935.536mil","948.075mil","935.536mil","948.075mil","947.347mil","948.075mil","T","180.00","12pF"
"C23","C0603","545.536mil","726.075mil","545.536mil","726.075mil","545.536mil","692.611mil","T","90.00","22uF"
"C22","C0201-C","931.536mil","1086.075mil","931.536mil","1086.075mil","943.347mil","1086.075mil","T","180.00","100nF"
"C21","C0201-C","931.536mil","1054.075mil","931.536mil","1054.075mil","943.347mil","1054.075mil","T","180.00","10nF"
"C20","C0201-C","931.536mil","1022.075mil","931.536mil","1022.075mil","943.347mil","1022.075mil","T","180.00","12pF"
"C19","C0201-C","813.536mil","749.075mil","813.536mil","749.075mil","801.725mil","749.075mil","T","360.00","18pF"
"C17","C0201-C","794.536mil","669.075mil","794.536mil","669.075mil","806.347mil","669.075mil","T","180.00","27pF"
"C16","C0201-C","889.261mil","818.835mil","889.261mil","818.835mil","901.072mil","818.835mil","T","180.00","10nF"
"C15","C0201-C","794.536mil","696.075mil","794.536mil","696.075mil","806.347mil","696.075mil","T","180.00","1.2pF"
"C14","C0402","641.536mil","701.075mil","641.536mil","701.075mil","641.536mil","720.76mil","T","270.00","100pF"
